Date,Close
7-Jul-15,117.37
8-Jul-15,118.25
9-Jul-15,120.34
10-Jul-15,118.52
13-Jul-15,121.57
14-Jul-15,123.11
15-Jul-15,123.06
16-Jul-15,124.67
17-Jul-15,127.91
20-Jul-15,125.06
21-Jul-15,124.9
22-Jul-15,130.42
23-Jul-15,123.18
24-Jul-15,126.32
27-Jul-15,126.67
28-Jul-15,123.52
29-Jul-15,121.03
30-Jul-15,122.06
31-Jul-15,124.2
3-Aug-15,119.32
4-Aug-15,119.79
5-Aug-15,119.1
6-Aug-15,126.09
7-Aug-15,117.82
10-Aug-15,121.54
11-Aug-15,124.37
12-Aug-15,119.97
13-Aug-15,119.96
14-Aug-15,119.37
17-Aug-15,120.27
18-Aug-15,124.34
19-Aug-15,122.14
20-Aug-15,118.76
24-Aug-15,129.46
25-Aug-15,126.78
26-Aug-15,124.35
27-Aug-15,126.31
28-Aug-15,130.38
31-Aug-15,129.36
1-Sep-15,125.35
2-Sep-15,125.35
3-Sep-15,132.43
4-Sep-15,142.19
8-Sep-15,132.37
9-Sep-15,137.03
10-Sep-15,131.42
11-Sep-15,118.18
14-Sep-15,142.93
15-Sep-15,136
16-Sep-15,142.16
17-Sep-15,137.49
18-Sep-15,119.47
21-Sep-15,135.45
22-Sep-15,135.94
23-Sep-15,136.71
24-Sep-15,134.03
25-Sep-15,135.16
28-Sep-15,134.18
29-Sep-15,136.71
30-Sep-15,113.9
1-Oct-15,124.81
2-Oct-15,115.75
5-Oct-15,132.83
6-Oct-15,129.32
7-Oct-15,132.39
8-Oct-15,136.69
9-Oct-15,134.66
12-Oct-15,148.92
13-Oct-15,133.81
14-Oct-15,135.82
15-Oct-15,151.22
16-Oct-15,135.04
19-Oct-15,139.92
20-Oct-15,140.7
21-Oct-15,133.07
22-Oct-15,121.02
23-Oct-15,135.62
26-Oct-15,132.29
27-Oct-15,132.17
28-Oct-15,134.43
29-Oct-15,134.64
30-Oct-15,125.77
2-Nov-15,138.78
3-Nov-15,137.4
4-Nov-15,134.44
5-Nov-15,135.21
6-Nov-15,137.75
9-Nov-15,134.34
10-Nov-15,132.24
11-Nov-15,132.44
12-Nov-15,136.93
13-Nov-15,139.5
16-Nov-15,131.77
17-Nov-15,136.97
18-Nov-15,136.86
19-Nov-15,139.17
20-Nov-15,126.86
23-Nov-15,139.51
24-Nov-15,138.17
25-Nov-15,139.45
27-Nov-15,137.66
30-Nov-15,127.25
1-Dec-15,135.57
2-Dec-15,132.66
3-Dec-15,135.26
4-Dec-15,136.31
7-Dec-15,136.77
8-Dec-15,131.25
9-Dec-15,134.26
10-Dec-15,134.94
11-Dec-15,146.53
14-Dec-15,140.92
15-Dec-15,143.35
16-Dec-15,135.5
17-Dec-15,131.2
21-Dec-15,125.18
22-Dec-15,133.63
23-Dec-15,134.69
24-Dec-15,128.78
28-Dec-15,136.29
29-Dec-15,139.26
30-Dec-15,143
31-Dec-15,124.43
4-Jan-16,140
5-Jan-16,135.07
7-Jan-16,135.94
8-Jan-16,138.83
11-Jan-16,142.52
12-Jan-16,138.67
13-Jan-16,145.88
14-Jan-16,138.79
15-Jan-16,145.03
19-Jan-16,137.9
20-Jan-16,134.82
21-Jan-16,132.99
22-Jan-16,133.64
25-Jan-16,132.27
26-Jan-16,129.53
27-Jan-16,129.06
28-Jan-16,129.23
29-Jan-16,120.86
1-Feb-16,126.38
2-Feb-16,119.83
3-Feb-16,122.04
4-Feb-16,122.69
5-Feb-16,119.01
8-Feb-16,120.25
9-Feb-16,120.74
10-Feb-16,120.36
11-Feb-16,122.38
12-Feb-16,117.75
16-Feb-16,125.77
17-Feb-16,124.99
18-Feb-16,125.33
19-Feb-16,123.61
22-Feb-16,117.46
23-Feb-16,119.67
24-Feb-16,119.46
25-Feb-16,122.02
26-Feb-16,118.65
29-Feb-16,117.68
1-Mar-16,119.81
2-Mar-16,122.35
3-Mar-16,125.27
4-Mar-16,125.27
7-Mar-16,124.01
8-Mar-16,123.53
9-Mar-16,123.47
10-Mar-16,130.04
11-Mar-16,128.99
14-Mar-16,133.3
15-Mar-16,132.45
16-Mar-16,125.42
17-Mar-16,126.65
18-Mar-16,126.75
21-Mar-16,129.35
22-Mar-16,130.99
23-Mar-16,129.67
24-Mar-16,119.02
28-Mar-16,127.74
29-Mar-16,132.61
30-Mar-16,128.67
31-Mar-16,122.03
1-Apr-16,124.03
4-Apr-16,125.23
5-Apr-16,120.27
6-Apr-16,125.06
7-Apr-16,125.13
8-Apr-16,113.84
11-Apr-16,119.13
12-Apr-16,126.17
13-Apr-16,127.13
14-Apr-16,126.23
15-Apr-16,123.1
18-Apr-16,120.55
19-Apr-16,126.19
21-Apr-16,127.06
22-Apr-16,123.25
25-Apr-16,126.78
26-Apr-16,127.4
27-Apr-16,126.09
28-Apr-16,125.44
2-May-16,127.67
3-May-16,125.94
4-May-16,124.31
5-May-16,123.74
6-May-16,120.82
9-May-16,123.17
10-May-16,124.1
11-May-16,122.19
12-May-16,123.52
13-May-16,121.46
16-May-16,124.13
17-May-16,122.96
18-May-16,122.22
19-May-16,123.66
20-May-16,125.61
23-May-16,124.74
24-May-16,124.74
25-May-16,127.13
26-May-16,129.28
27-May-16,129.61
31-May-16,127.7
1-Jun-16,132.46
2-Jun-16,134.15
3-Jun-16,125.04
6-Jun-16,125.57
7-Jun-16,128.54
8-Jun-16,129.23
9-Jun-16,129.31
10-Jun-16,133.67
13-Jun-16,137.49
14-Jun-16,138.02
15-Jun-16,140.91
16-Jun-16,142.5
17-Jun-16,137.94
20-Jun-16,137.81
21-Jun-16,135.92
22-Jun-16,136.48
23-Jun-16,145.7
24-Jun-16,142.92
27-Jun-16,136.43
28-Jun-16,153.66
29-Jun-16,136.46
30-Jun-16,140.58
1-Jul-16,128.53
